id,name,image_url,rakuten_category_id
1,赤魚,fishes/akoudai.png,11-78-523
2,あじ,fishes/aji.png,11-73
3,穴子,fishes/anago.png,11-78-472
4,甘鯛,fishes/amadai.png,11-78-1498
5,あんこう,fishes/ankou.png,11-78-466
6,イサキ,fishes/isaki.png,11-78-2028
7,いわし,fishes/iwasi.png,11-71
8,うなぎ,fishes/unagi.png,11-78-334
9,カサゴ,fishes/kasago.png,11-78-1500
10,めかじき,fishes/kajiki.png,11-78-522
11,かつお,fishes/katsuo.png,11-78-324
12,カレイ,fishes/karei.png,11-78-323
13,きす,fishes/kisu.png,11-78-840
14,金目鯛,fishes/kinmedai.png,11-78-328
15,鮭,fishes/sake.png,11-70-2016
16,サクラマス,fishes/sakuramasu.png,11-70-2022
17,ニジマス,fishes/nijimasu.png,11-70-2021
18,さば,fishes/saba.png,11-72-2024
19,ごまさば,fishes/gomasaba.png,11-72-2025
20,さわら,fishes/sawara.png,11-78-465
21,さんま,fishes/sanma.png,11-75
22,ししゃも,fishes/shisyamo.png,11-78-471
23,しらす,fishes/shirasu.png,11-78-469
24,スズキ,fishes/suzuki.png,11-78-2029
25,鯛,fishes/tai.png,11-76
26,太刀魚,fishes/suzuki.png,11-78-2027
27,たら,fishes/tara.png,11-443
28,にしん,fishes/nishin.png,11-78-1497
29,鱧,fishes/hamo.png,11-78-1501
30,ヒラメ,fishes/hirame.png,11-78-1499
31,ぶり,fishes/buri.png,11-74
32,ほっけ,fishes/hokke.png,11-78-468
33,マグロ,fishes/maguro.png,11-77
34,メバル,fishes/mebaru.png,11-78-841
35,ワカサギ,fishes/wakasagi.png,11-78-327