1,赤魚,11-78-523
2,あじ,11-73
3,穴子,11-78-472
4,甘鯛,11-78-1498
5,あんこう,11-78-466
6,イサキ,11-78-2028
7,いわし,11-71
9,うなぎ,11-78-334
10,カサゴ,11-78-1500
11,めかじき,11-78-522
12,かつお,11-78-324
13,カレイ,11-78-323
14,きす,11-78-840
15,金目鯛,11-78-328
16,銀鮭,11-70-2016
17,サクラマス,11-70-2022
18,ニジマス,11-70-2021
19,真さば,11-72-2024
20,ごまさば,11-72-2025
21,さわら,11-78-465
22,さんま,11-75
23,ししゃも,11-78-471
24,しらす,11-78-469
25,スズキ,11-78-2029
26,鯛,11-76
27,太刀魚,11-78-2027
28,たら,11-443
29,にしん,11-78-1497
30,鱧,11-78-1501
31,ヒラメ,11-78-1499
32,ぶり,11-74
33,ほっけ,11-78-468
34,マグロ,11-77
35,メバル,11-78-841
36,ワカサギ,11-78-327